City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
284,Mount Isa,AU,2022-09-12 18:33:43,-20.7333,139.5,65.97,52,0,6.91
285,Vardo,NO,2022-09-12 18:30:38,70.3705,31.1107,42.78,87,75,6.91
286,Morondava,MG,2022-09-12 18:33:43,-20.2833,44.2833,72.37,75,0,7.34
287,Vila Franca Do Campo,PT,2022-09-12 18:30:24,37.7167,-25.4333,75.61,82,41,11.54
288,Coquimbo,CL,2022-09-12 18:33:44,-29.9533,-71.3436,58.05,72,0,11.45
289,Hanzhong,CN,2022-09-12 18:33:44,33.0728,107.0303,64.83,91,82,3.04
290,Gorontalo,ID,2022-09-12 18:33:44,0.5412,123.0595,73.6,96,51,2.3
291,Mana,GF,2022-09-12 18:33:44,5.6592,-53.7767,81.79,74,50,8.34
292,Ballina,AU,2022-09-12 18:33:45,-28.8667,153.5667,57.24,86,31,11.39
293,Umea,SE,2022-09-12 18:32:07,63.8284,20.2597,54.91,87,100,3.44
