City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Auki,SB,-8.7676,160.7034,77.54,88,100,4.09,overcast clouds
268,Kigonsera,TZ,-10.8,35.05,80.17,24,64,6.06,broken clouds
269,Vostok,RU,46.4856,135.8833,33.08,80,95,8.25,overcast clouds
270,Rio Grande,BR,-32.035,-52.0986,66.31,83,100,6.96,light rain
271,Bestobe,KZ,52.4994,73.0975,60.73,26,16,5.66,few clouds
272,Yangambi,CD,0.8102,24.4336,81.19,70,99,0.16,overcast clouds
273,Champerico,GT,14.3,-91.9167,84.74,79,100,5.3,overcast clouds
274,Atuona,PF,-9.8,-139.0333,76.06,77,34,20.02,light rain
275,Tazovskiy,RU,67.4667,78.7,36.23,83,94,15.75,overcast clouds
276,Kasongo-Lunda,CD,-6.4667,16.8167,90.09,41,38,3.44,scattered clouds
277,Gladstone,AU,-23.85,151.25,66.78,94,100,0.0,overcast clouds
278,Poum,NC,-20.2333,164.0167,75.02,76,6,12.66,clear sky
279,Matagami,CA,49.7502,-77.6328,55.51,50,0,10.36,clear sky
280,Hofn,IS,64.2539,-15.2082,50.02,93,100,11.5,mist
281,Ilhabela,BR,-23.7781,-45.3581,70.72,64,3,8.25,clear sky
282,Mitu,CO,1.1983,-70.1733,85.46,74,79,2.42,broken clouds
283,Esperance,AU,-33.8667,121.9,53.44,80,59,18.63,broken clouds
284,Conde,BR,-7.2597,-34.9075,85.46,39,20,14.97,few clouds
285,Aron,IN,24.3833,77.4167,76.68,77,76,3.69,broken clouds
286,Khani,GE,41.9563,42.9566,65.77,96,88,1.88,overcast clouds
287,North Bend,US,43.4065,-124.2243,55.85,97,20,4.61,few clouds
288,Grand Gaube,MU,-20.0064,57.6608,72.37,68,1,10.0,clear sky
289,Xining,CN,36.6167,101.7667,49.33,88,100,2.59,overcast clouds
290,Ergani,TR,38.2653,39.7621,85.93,15,0,12.97,clear sky
291,Chibombo,ZM,-14.6569,28.0706,92.97,13,51,0.85,broken clouds
292,Shubarshi,KZ,48.5872,57.1869,72.61,15,0,7.07,clear sky
293,Sungairaya,ID,0.7,108.9,75.69,87,100,4.03,overcast clouds
294,Souillac,MU,-20.5167,57.5167,71.98,78,75,10.36,light rain
295,Half Moon Bay,US,37.4636,-122.4286,63.82,90,0,0.0,clear sky
296,Moose Factory,CA,51.2585,-80.6094,57.2,47,0,9.22,clear sky
297,Hasaki,JP,35.7333,140.8333,81.28,88,100,30.87,overcast clouds
298,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.99,93,75,4.47,light intensity shower rain
299,Jining,CN,35.405,116.5814,65.66,44,100,5.64,overcast clouds
300,Rodos,GR,36.4408,28.2225,82.06,57,20,17.27,few clouds
